0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2022_11_17_074314_750_3891.scd,790.01,648.39,658.66,483581.95,789.22,951.54,593427.34,2776.95,649.6,923.99,488488.33,2574.23,659.45,699.65,809,924.39,972.74,0.8,0.83,553594.93,622317.82,2693.44,2830.56,2
2022_11_17_074208_750_5491.scd,1360.01,598.04,594.91,451042.82,781.05,924.24,582183.16,2720.1,584.48,911.96,461696.61,2408.92,600.83,701.27,784.78,934.3,1068.54,0.76,0.84,547923.17,621262.48,2725.98,3047.45,2
2022_11_17_080131_852_7457.scd,1050.01,651.18,702.92,491788.24,860.37,893.43,602355.8,2795.81,672.64,942.2,483163.72,2592.75,699.4,732.27,873.35,906.36,1070.03,0.83,0.97,541013.26,626064.83,2694.86,2917.33,2
2022_11_17_180023_803_3454.scd,950.01,670.74,690.67,478603.82,774.66,918.73,563901.78,2672.71,599.67,955.28,447193.09,2525.33,639.41,678.68,791.58,902.35,935.61,0.78,0.86,516497.76,580417.79,2593.36,2708.2,2
2022_11_17_173826_722.6_1534.scd,330,668.5,713.42,531174.22,775.91,923.37,566407.69,2644.87,746.59,884.98,540274.61,2403.29,725.15,690.25,801.24,920.58,991.86,0.77,0.86,522958.51,602565.54,2621.86,2858.42,2
2022_11_17_170434_695_9085.scd,750.01,634.41,643.69,420588.14,745.1,918.28,526422.36,2622.31,713.08,989.4,540950.66,2705.07,685.72,667.66,754.11,914.91,1011.95,0.75,0.83,497960.67,551863.51,2607.15,2818.24,2
2022_11_17_173736_722_1534.scd,930.01,682.31,695.74,507802.11,779.22,935.71,575768.26,2728.92,671.27,946,509890.93,2774.9,560.14,692.22,803.92,900.58,957.25,0.79,0.84,523636.78,601935.65,2642.3,2789.2,2
2022_08_10_165754_700_123456.pcd,890.01,650.82,680.61,483585.78,801.05,865.56,545320.39,2631,642.49,881.61,486931.88,2643.85,660.29,694.44,808.1,857.22,886.76,0.86,0.94,517789.49,567286.7,2579.13,2676.75,2
2022_11_17_075959_852_7457.scd,910.01,699.74,689.44,456072.21,867.84,905.03,616271.08,2827.65,699.36,891.96,494882.6,2575.1,716.87,744.49,875.87,874,918.89,0.9,0.96,559044.61,638540.78,2621.98,2878.21,3
2022_11_17_082112_750_8906.scd,910.01,599.05,612.08,412694.47,772.84,876.26,545675.13,2636.37,678.77,883.7,474982.63,2509.9,663.71,683.38,781.21,842.74,886.8,0.85,0.91,495665.02,564022.93,2534.64,2668.01,2
2022_11_17_170624_695_9085.scd,860.01,586.86,601.83,430726.26,741.41,909.99,522493.85,2609.02,683.54,909.95,483145.37,2571.51,676.21,662.02,752.03,879.11,938.91,0.79,0.85,484464.7,536523.72,2541.97,2662.07,2
2022_11_17_174839_764.2_3455.scd,930.01,565.91,630.32,499931.26,806.53,923.54,593116.69,2758.49,690.03,925.43,499754.74,2588.22,685.44,704.77,820.51,947.56,1072.6,0.76,0.89,547650.95,616314.23,2720.05,2943.87,2
2022_11_17_082107_750_8906.scd,780.01,610.3,612.03,409321.53,772.89,874.51,545428.27,2635.26,716.45,865.09,484784.25,2508.61,699.71,689.24,779.7,847.45,890.49,0.86,0.9,506312.18,564617.35,2559.23,2667.8,2
2022_11_17_175012_764.2_3455.scd,1160.01,620.04,636.35,447433.23,799.24,926.91,589170.92,2753.9,599.04,1104.14,464187.59,2314.81,613.35,720.25,797.54,920.62,1095.26,0.8,0.87,556302.52,603019.81,2722.35,2912.7,2
2022_08_11_104957_650_3891.pcd,690.01,674.15,687.57,498982.96,718.41,891.36,511177.47,2618.31,620.36,853.06,442520.16,2574.09,633.19,659.21,734.58,863.4,934.7,0.77,0.83,478257.64,537964.17,2588.52,2801.49,2
2022_08_10_165601_760_123454.pcd,970.01,622.54,675.94,461765.7,808.44,853.45,549666.94,2649.29,663.43,864.49,449852.03,2501.56,662.73,695.8,813.32,837.79,864.83,0.87,0.95,499497.47,567715.08,2537.74,2691.14,3
2022_08_10_165803_700_123456.pcd,700.01,696.68,703.77,468718.41,817.1,868.14,562018.52,2660.47,642.44,876.33,443294.4,2463.53,647.76,712.73,837.88,848.09,901.17,0.89,0.96,519239.96,590198.55,2545.8,2754.54,2
2022_08_10_170204_700_123123.pcd,960.01,603.49,614.55,371601.44,750.18,764.14,467379.3,2437.73,645.62,831.8,424863.04,2381.24,437.34,662.44,768.73,760.68,843.88,0.9,1.01,434706.62,483358.75,2298.18,2483.84,1
